poem,theme,mood,devices
"Sing a Song of Sixpence, a pocket full of rye.
 Four and twenty blackbirds, baked in a pie.
 When the pie was opened, the birds began to sing. Wasn't that a dainty dish to set before the king?
 The King was in his counting house, counting out his money.
 The Queen was in the parlour, eating bread and honey.
 The maid was in the garden, hanging out the clothes;
 When down came a blackbird and pecked off her nose!",playful whimsy and the unexpected,jovial and humorous,"rhyme and rhythm, which create a sing-song quality typical of nursery rhymes"
"Oh the Grand Old Duke of York,
 he had ten thousand men.
 He marched them up to the top of the hill, and he marched them down again.
 And when they were up, they were up. And when they were down, they were down. And when they were only half way up, they were neither up nor down.",the futility and absurdity of military drills,lighthearted and humorous,"repetition in the phrases ""up"" and ""down,"" which creates a rhythmic quality, as well as a playful use of paradox in the phrase ""neither up nor down,"" contributing to the poem's whimsical tone"
"Oh, do you know the muffin man, The muffin man, the muffin man, Oh, do you know the muffin man, That lives on Drury Lane?
 Oh, yes, I know the muffin man, The muffin man, the muffin man, Oh, yes, I know the muffin man, That lives on Drury Lane.",unknown,unknown,"repetition, which emphasizes the friendly inquiry, and rhyme, which contributes to the rhythm and musicality of the piece"
"The Queen of Hearts, she made some tarts, all on a summers
 day.
 The Knave of Hearts, he stole the tarts, and took them clean
 away.
 The King of Hearts, called for the tarts, and scolded the Knave full bore.
 The Knave of Hearts, brought back the tarts, and vowed he'd steal no more.",themes of justice and consequence,playful and lighthearted,"rhyme and repetition, as seen in the consistent AABB rhyme scheme, which contributes to its musical quality"
"The wheels on the bus go round and round, round and round, round and round. The
 wheels on the bus go round and round, all day long.
 The wipers on the bus go swish, swish, swish, swish, swish, swish, swish, swish, swish. The wipers on the bus go swish, swish, swish, all day long.
 The horn on the bus goes beep, beep, beep, beep, beep, beep, beep, beep, beep. The horn on the bus goes beep, beep, beep, all day long.
 The money on the bus goes clink, clink, clink, clink, clink, clink, clink, clink, clink. The money on the bus goes clink, clink, clink, all day long.
 The bell on the bus goes ding, ding, ding, ding, ding, ding, ding, ding, ding. The bell on the bus goes ding, ding, ding, all day long.
 The driver on the bus says ""Move on back, move on back, move on back."" The driver on the bus says ""Move on back"" all day long.
 The doors on the bus go open and shut, open and shut, open and shut. The doors on the bus go open and shut, all day long.
 The people on the bus go chitter and chatter, chitter and chatter, chitter and chatter. The people on the bus go chitter and chatter, all day long.
 The baby on the bus goes ""Wah, wah, wah, wah, wah, wah, wah, wah, wah"" The baby on the bus goes ""Wah, wah, wah"" all day long.
 The mummy on the bus says ""shush, shush, shush, shush, shush, shush, shush, shush,
 shush"" The mummy on the bus says ""shush, shush, shush"" all day long. The kids on the bus make too much noise, too much noise, too much noise. The kids on
 the bus make too much noise, all day long.",playful and lively,playful and lively,"repetition and rhyme, which create a musical quality that engages young readers and listeners"
"There was an old lady who swallowed a fly I don't know why she swallowed a fly - perhaps she'll die! There was an old lady who swallowed a spider, That wriggled and wiggled and tiggled inside her; She swallowed the spider to catch the fly;
 I don't know why she swallowed a fly - perhaps she'll die! There was an old lady who swallowed a bird;
 How absurd to swallow a bird.
 She swallowed the bird to catch the spider,
 She swallowed the spider to catch the fly;
 I don't know why she swallowed a fly - perhaps she'll die! There was an old lady who swallowed a cat;
 Fancy that to swallow a cat!
 She swallowed the cat to catch the bird, She swallowed the bird to catch the spider,
 She swallowed the spider to catch the fly;
 I don't know why she swallowed a fly - perhaps she'll die! There was an old lady that swallowed a dog; What a hog, to swallow a dog;
 She swallowed the dog to catch the cat, She swallowed the cat to catch the bird, She swallowed the bird to catch the spider, She swallowed the spider to catch the fly; I don't know why she swallowed a fly - perhaps she'll die! There was an old lady who swallowed a cow, I don't know how she swallowed a cow; She swallowed the cow to catch the dog, She swallowed the dog to catch the cat, She swallowed the cat to catch the bird, She swallowed the bird to catch the spider,
 She swallowed the spider to catch the fly;
 I don't know why she swallowed a fly - perhaps she'll die! There was an old lady who swallowed a horse... She's dead, of course!",the consequences of her increasingly irrational actions,playful and lighthearted,"repetition, particularly the refrain ""I don't know why she swallowed a fly - perhaps she'll die,"" which reinforces the whimsical tone and builds a rhythmic pattern that makes the poem memorable"
"Ding, dong, bell,
 Pussy’s in the well.
 Who put her in?
 Little Tommy Thin.
 

 Who pulled her out?
 Little Johnny Stout.
 What a naughty boy was that,
 To drown poor pussy cat",light-hearted and whimsical,light-hearted and whimsical,"rhyme and rhythm, which create a catchy and memorable flow to the verses"
"Jack and Jill,
 Went up the hill,
 To fetch
 Qa pail of water.
 

 Jack fell down,
 And broke his crown,
 And Jill came
 tumbling after.",unknown,light-hearted and playful,"rhyme, as seen in the repetitive ""hill"" with ""water"" and ""crown"" with ""after,"" which adds a musical quality to the poem"
"Twinkle, Twinkle, little star,
 How I wonder what*you are!
 

 Up above the world so high,
 Like a diamond in the sky!
 

 Twinkle, Twinkle, little star,
 How I wonder what you are!",whimsical and reflective,whimsical and reflective,"simile, as the star is compared to ""a diamond in the sky,"" which enhances the imagery and emphasizes the star's brightness and beauty"
"Humpty Dumpty
 Sat on a wall,
 

 Humpty Dumpty
 Had a great fall.
 

 All the king’s horses,
 And all the King’s men,
 Couldn't put Humpty Dumpty
 

 Together again.",one of melancholy and resignation,one of melancholy and resignation,"repetition (with the name ""Humpty Dumpty"" and the phrase ""all the king's""), which emphasizes his identity and the collective effort that ultimately proves unsuccessful, and rhythm, which gives the poem a nursery rhyme quality that resonates with childhood innocence while hinting at deeper, more somber undertones"
"Rain, rain,go away.
 Come again,another day;
 Little Johnny wants to play,
 

 Rain,rain, go away.",light and playful,light and playful,"repetition (""rain, rain, go away"") which emphasizes the speaker's plea and creates a rhythmic quality, and personification, as rain is treated as if it can be requested to leave"
"Tang, tang, tang.
 Listen to my trumpet,
 Toot, toot, toot.
 

 Listen to my tambourine,
 

 Shoo, shoo, shoo.",unknown,unknown,"repetition and alliteration, which enhance the musical quality and emphasize the joy of sound"
"Ten little fingers,
 Ten little toes:
 Two little ears,
 And one little nose.
 

 Two little eyes,
 That shine so bright:
 And one little mouth,
 To kiss Mummye' Good night”.",the simplicity and wonder of a child's existence,warm and affectionate,"repetition, which reinforces the simplicity and completeness of the child's body, and the use of rhyme, creating a musical and rhythmic quality that enhances the reading experience"
"Hands are meant for working,
 Hands are meant for play,
 Hands are used a hundred times,
 Every single day.
 

 Hands get very dirty,
 

 As everyone can tell, ov
 So don't forget before you eat, wv ;
 

 Be sure, to wash them we",the multifaceted use of hands and the necessity of hygiene,unknown,"repetition, as seen in the phrasing of ""Hands are meant,"" which reinforces the central idea, and a conversational tone that engages readers in a straightforward message about cleanliness"
"Hot cross buns!
 Hot cross buns!
 

 One a penny, two a penny,
 Hot cross buns!
 

 If you have no daughters,
 Give them to your sons.
 One a penny, two a penny,
 Hot cross buns!",unknown,unknown,"repetition, which emphasizes the joy and excitement surrounding the hot cross buns, and rhyme, which adds a musical quality appropriate for a children’s song"
"Pat-a-cake, Pat-a-cake,
 Baker’s man,
 Bake me a cake,
 

 As fast as you can.
 

 Pat it and prick if,
 And mark it with T,
 And put it in the oven,
 For Teacher and Me.",poem revolves around the playful and creative act of baking,lighthearted and cheerful,"repetition, with the phrase ""Pat-a-cake"" creating a rhythmic quality that mirrors the act of baking"
"Polly put the Kettle on,
 Kettle on, Kettle on,
 Polly put the Kettle on,
 We'll all have tea.
 

 Sukey take it off again,
 Sukey take it off again,
 Sukey take it offagain,
 They'veeallgone away.",domestic life and the communal joy of sharing a moment with friends over tea,unknown,unknown
"lam a little teapot,
 Short and stout:
 This is.my handle,
 And this is my spout.
 

 When the water's boiling,
 Hear me shout!
 “Pick me up,
 and pour me out”.",the playful personification of a teapot,light-hearted and cheerful,"personification, as the teapot is given human-like characteristics, and repetition, which reinforces the playful tone"
"Peter, Peter, Pumpkin eater:
 Had a wife and couldn't keep her.
 

 He put her in a pumpkin shell:
 And there he kept her very well!",playful yet unsettling,playful yet unsettling,"rhyme and rhythm, which create a sing-song quality typical of traditional nursery rhymes"
"Frisky is my kitten, >) dil,
 She’s very hard to catch: —— |
 And if lam not careful,
 I'm sure to get a scratch!
 

 I put my arms around her,
 But, what do you suppose?
 Frisky simply wriggles
 From her head to her toes.",a relatable experience for many cat owners,light-hearted and playful,"personification, as the kitten is described as ""wriggling"" and having a spirited personality, and the use of rhyme and rhythm that adds a musical quality to the verses"
"Mix a pancake,
 Stir a pancake,
 Pop it in a pan:
 Fry a pancake,
 Toss a pancake,
 Catch it if you can!",poem revolves around the playful and engaging process of making pancakes,cheerful and light-hearted,"repetition, as seen in the lines ""Mix a pancake"" and ""Stir a pancake,"" which create a rhythmic quality"
"What is in a glass of milk?
 Cheeks like roses, Skin like silk:
 Eyes like diamonds,
 

 Teeth like pearls.
 

 Health for growing
 Boys and girls.
 Bodies sturdy, strong and round,
 In a glass of milk are found.",the idea that milk is essential for developing strong and healthy bodies,vibrant and uplifting,unknown
"Slice, slice, the bread looks nice,
 Spread the butter on each slice.
 

 On the top, put jam so sweet,
 Now, it’s nice for us to eat.",the simple pleasures of preparing and enjoying food,lighthearted and cheerful,"rhyme, as evidenced by the repetitive ""slice"" and ""nice"" as well as ""sweet"" and ""eat,"" which contribute to the playful and rhythmic flow of the poem, enhancing its joyful tone"
"One, two,
 Buckle my shoe:
 

 Three, four,
 Shut the door:
 

 Five, Six,
 Pick up sticks:
 

 Seven, eight,
 Lay them, straight:
 

 Nine, ten,
 Avbig fat hen.",childhood experiences and the joy of learning to count through engaging and interactive phrases,lighthearted and whimsical,"rhyme and repetition, which enhance the musical quality of the poem and make it memorable for young readers"
"Here we go round the mulberry bush,
 The mulberry bush, the mulberry bush.
 

 Here we go round the mulberry bush,
 Ona cold and frosty morning.
 

 This is the way, we brush our teeth,
 We brush our teeth, we brush our teeth.
 This is the way, we brush our teeth,
 On a cold and frosty morning.",light-hearted and jovial,light-hearted and jovial,"repetition, which emphasizes the rhythmic nature of the poem and engages the reader, creating a sing-song quality that is characteristic of nursery rhymes"
"Mary had
 a little lamb(3)
 

 Its fleece was white as snow.
 And everywhere that
 Mary went(3)
 The lamb was sure to go.
 

 It followed her to
 school one day(3)
 And that was against*the,rule,
 It made the children
 laughvand play(3)
 To.sée)the lamb at school.",light-hearted and playful,light-hearted and playful,"repetition, particularly with the phrase ""little lamb,"" which emphasizes the lamb's smallness and innocence, and simile, as seen in the line ""Its fleece was white as snow,"" which creates a vivid image of the lamb's purity"
"Three blind mice.(2)
 See how they run! (2)
 They all ran after the farmer's wife:
 Who cut off their tails
 

 With a carving Knife!
 Did you ever see
 Such a thing in your life?
 As three blind mice",the irony of innocence being met with cruelty,playful yet macabre,"the use of rhyme and rhythm, which contribute to a sing-song quality that contrasts sharply with the violent imagery"
"Down by the station,
 Early in the morning,
 See all the trains there,
 4 Standing in a row:
 

 The guard waves his flag now,
 And blows his little whistle:
 Everyone inside now,",the excitement and anticipation of travel,lively and spirited,"simple rhyme and repetition, which create a rhythmic quality and enhance the playful tone of the poem"
"Puff-a-train, puff-a-train,
 Noisy little puff-a-train,
 

 If you are going to the sea,
 Puff-a-train, O, please take me.
 

 Puff-puff-puff, ssh-ssh-ssh, (2)
 Ssh-ssh-ssh-ssh-ssh-ssh.",the excitement and joy of traveling,unknown,"repetition, which reinforces the carefree and energetic tone, and onomatopoeia, as the words imitate the sounds of a train, making the experience more vivid for the reader"
"The cock doth crow,
 To let you Know:
 If you be wise 
 Tis time to rise.",poem centers around the idea of waking up and embracing the day,one of encouragement and practicality,"rhyme, as seen in the repetition of the ""-ow"" and ""-ise"" sounds, which creates a playful and musical quality"
"OH! LOOK AT THE MOON JM
 Shei is a sed ve ‘he re,
 she lool
 Like a amp in he air",one of wonder and enchantment,one of wonder and enchantment,unknown
"Teddy Bear, Teddy Bear,
 Turn around.
 Teddy Bear, Teddy Bear,
 Touch the ground.
 Teddy Bear, Teddy Bear,
 Polish your shoes.
 Teddy Bear, Teddy Bear,
 Off to school!",cheerful and whimsical,cheerful and whimsical,"repetition, which creates a rhythmic and engaging quality, and simple rhymes that enhance its sing-song nature, making it easy to remember and recite"
"One, two, three, four,
 Mary at the cottage door.
 Five, six, seven, eight,
 Eatting cherries off a plate",cheerful and whimsical,cheerful and whimsical,unknown
"“Butterfly, butterfly,
 From where do you come?”
 “I Know not, I ask not,
 I never had a home.”",somewhat melancholic yet wistful,somewhat melancholic yet wistful,"personification, as the butterfly is given the ability to speak, and invocation of rhetorical questions, which emphasize the theme of existential inquiry"
"Fetch a little: hammer:
 Tap, tap, tap.
 

 Fetch a bigger hammer:
 Bang, bang, bang.
 

 Fetch the biggest hammer:
 Crash, crash, crash.",the idea of progression,unknown,"repetition, which reinforces the escalating tone, and onomatopoeia, as seen in the sounds ""tap,"" ""bang,"" and ""crash,"" which bring the imagery to life and evoke auditory sensations that enhance the overall experience of the poem"
"To market, to market,
 With a cart full of corn.
 Happy little horsey,
 Goes hippity hoppity hop.
 Home again home again,
 Rolls the empty cart.
 Happy little horsy,
 Goes hippity, hoppity hop.",the simple joys of daily life and the rhythm of rural activities,light-hearted and joyful,"the use of repetition, particularly in the lines ""Happy little horsey"" and ""Goes hippity hoppity hop,"" which creates a musical quality and reinforces the horse's cheerful demeanor"
"Baa, Baa, Black Sheep,
 Have you any wool?
 Yes sir, yes sir,
 Three bags full.
 

 One for my master,
 One for my dame:
 And one for the little boy,
 Who lives down,the lane.",playful and cheerful,playful and cheerful,"repetition, which emphasizes the quantities of wool, and rhyme, which creates a musical quality that enhances memorability"
"Oranges and Lemon
 Sold for a penny,
 All the school kids
 Are so many.
 The grass is green,
 And the rose is red,
 Remember me;
 Till l am dead-dead-dead.",the carefree nature of youth,nostalgic and somewhat melancholic,"vivid imagery, which evokes the sensory experience of childhood, and repetition of the word ""dead,"" emphasizing the inevitability of death and serving as a poignant contrast to the light-heartedness of the earlier lines"
"Mary, Mary, quite contrary,
 How does your garden grow?
 With silver bells and cockle shells,
 And pretty maids all in a row.",lighthearted and rhythmic,lighthearted and rhythmic,"the use of rhyme and rhythmic repetition, which contribute to its lyrical quality"
"I am an aéroplane.
 Up in the sky,
 see how swiftly,
 I fly, fly, fly.",the exhilaration of flight and the freedom associated with being an airplane soaring through the sky,joyful and upbeat,"repetition with the phrase ""fly, fly, fly,"" which emphasizes the excitement of flying, and vivid imagery that allows readers to envision the airplane's swift movement through the sky"
"Row, row, row your boat,
 Gently down the stream:
 Merrily, merrily, merrily, merrily,
 Life is but a dream.",poem emphasizes the idea of life's ephemeral nature and the importance of maintaining a lighthearted approach to existence,cheerful and playful,"repetition, which enhances the poem's musical quality, and metaphor, as life is likened to a dream, suggesting both its fleetingness and the illusionary aspects of human experience"
"Little Miss Muffet,
 Sat on a tuffet,
 

 Eating some curds and whey.
 There came a big spider,
 

 And sat down beside her,
 And frightened Miss Muffet away!",light and playful,light and playful,"rhyme and rhythm, which create a sing-song quality that appeals to children"
"Lolli-pop, lolli-pop
 On a long stick,
 

 I yust take a bite,
 ] just take a lick,
 

 I soon finish my lolli-pop,
 On a long stick.",childhood innocence and the pleasure derived from small treats,lighthearted and playful,"repetition, with the phrase ""lolli-pop"" and ""on a long stick"" reinforcing the playful tone"
"Little Polly Flinders,
 Sat among the cinders,
 

 Warming her pretty little toes.
 Her mother came and caught her,
 

 And whipped her little daughter,
 For spoiling her nice new clothes. ,",light-hearted yet tinged with a sense of reprimand as it depicts a young girl,light-hearted yet tinged with a sense of reprimand as it depicts a young girl,"rhyme, as seen in the alternating lines that create a rhythmic flow, and imagery, particularly in the description of Polly's actions and her mother's reaction"
"Hop a little, jump a little,
 One, two, three.
 Run a little, skip a little,
 Tap one Knee.
 

 Bend a little, stretch a little,
 Nod your head.
 Yawn a little, sleep a little,
 In your bed.",light and whimsical,light and whimsical,"tactile imagery (""tap one knee"") and varying action verbs that promote a sense of lively motion, making the poem relatable and interactive for children"
"Little Tommy Tucker
 Sings for his supper.
 What shall he eat?
 White bread and butter.
 

 How shall he cut it
 Without any knife
 How shall he marry
 Without any wife?",supper,lighthearted and whimsical,"rhyme, which creates a rhythmic quality, and rhetorical questions that engage the reader's thoughts about everyday situations, such as eating and marriage"
"Barber, barber,
 Cut my hair,
 Clip it here and
 Clip it there.
 

 Apply all your
 skill and art,
 Please make me look,
 Bright and smart!",unknown,unknown,"repetition in the phrases ""clip it here and clip it there,"" which emphasizes the act of cutting hair and adds a rhythmic quality"
"“Hello Mr. Bunny Rabbit!
 Will you have some tea?”
 

 “Oh! No thank you,
 not for me:
 

 I'd rather have a carrot,
 But I won't have tea.”",the preferences and choices of a whimsical character,cheerful and playful,"direct dialogue, which adds a conversational quality to the piece, and repetition, as Bunny consistently declines tea in favor of a carrot"
"Tom, Tom, the piper’s son,
 He learnt to play,
 When he was young:
 But the only tune
 That he could play,
 Was ‘O’er the hills and far away!’
 

 Tom, with his pipe,
 Make such a noise,
 That he pleased, both,
 The girls and boys.
 They danced and skipped
 While he did play,
 ‘O’er the hills and far away!’",the simplicity and joy of childhood,unknown,"repetition, particularly of the tune ""O’er the hills and far away,"" which emphasizes its significance and the joy it brings"
"The Queen of Hearts,
 She made some tarts,
 

 All on a summer's day.
 The Knave of Hearts,
 

 He stole those tarts,
 And with them ran away.",light-hearted and mischievous,light-hearted and mischievous,"rhyme, as seen in the paired lines, which creates a musical quality, and personification, through the characterization of the Queen and the Knave, adding to the fanciful nature of the narrative"
"Two little ducks, Went out one day,
 Over the hills and far away.
 

 Mother Duck called them,
 “Quack-quack, quack-quack:”
 

 But only one little duck came,
 Back, back, back.",playful and lighthearted,playful and lighthearted,"repetition, as seen in the phrase ""quack-quack,"" which adds rhythm and auditory appeal, and the use of rhyme in the structure, which enhances the poem's musicality"
"Little Boy Blue,
 Come, blow your horn,
 The sheep's in the meadow,
 The cow's in the corn.
 

 But where is the boy
 Who looks after the sheep?
 He’s under the haystack
 Fast asleep.",childhood innocence and the idea of responsibility,both lighthearted and slightly melancholic,"the use of rhyme and rhythm, which give the poem a musical quality, enhancing its nursery rhyme feel"
"Incy Wincy Spider
 Climbed up the water spout.
 Down came the rain,
 And washed the spider out.
 

 Out came the sun,
 And dried up all the rain.
 So Incy Wincy Spider
 Climbed up the spout again!",perseverance and resilience in the face of adversity,light and playful,"personification, as the spider is given human-like qualities in its endeavor to climb, and rhyme, which creates a musical quality that enhances its memorability"
"Hey.Diddle Diddle,
 The cat and the fiddle:
 The cow jumped 
 Over the moon.
 

 The little dog laughed
 To see such fun,
 And the dish ran away
 With the spoon.",whimsicality and playfulness,light-hearted and cheerful,"rhyme and rhythm, creating a musical quality that enhances its playful tone"
"Little Bo-Peep,
 Has lost her sheep,
 And can’t tell
 Where to find them:
 

 Leave them alone,
 And they will come home
 Wagging their tails
 behind them.",reassured that if left undisturbed,light and playful,"rhyme and rhythm, which create a sing-song quality typical of children's nursery rhymes"
"Old Mother Hubbard
 Went to the cupboard,
 

 To fetch her poor dog a bone:
 But when she got there,
 

 The cupboard was bare,
 And so the poor dog had none.",lighthearted yet tinged with a sense of humor at the unfortunate circumstance of the dog not getting his treat,lighthearted yet tinged with a sense of humor at the unfortunate circumstance of the dog not getting his treat,"rhyme and repetition, which create a rhythmic and catchy quality"
"Hush-a-Bye, Baby
 On the tree top.
 When the wind blows,
 The cradle will rock:
 

 When the bough breaks
 The cradle will fall:
 Down will come baby,
 Cradle and all:",a mix of calmness and foreboding,a mix of calmness and foreboding,"imagery, as seen in the depiction of the tree top and the cradle, which evokes a serene, pastoral setting"
"Tick-tock, tick-tock,
 Merrily sings the clock.
 It’s time for work,
 It's time for play.
 

 So it Sings
 Throughout the day:
 Tick-tock, tick-tock,
 Merrily sings, the clock.
 ing",the passage of time and its dual nature,light and cheerful,"personification, as the clock is depicted as singing merrily, and repetition, emphasized by the recurring ""tick-tock"" which reinforces the poem's rhythmic quality and underscores the inevitability of time"
"The cat’s in the cupboard
 And cannot see me.
 

 Oh my! my!
 Tell me why,
 Birds do fly
 In the sky.",poem revolves around curiosity and the childlike wonder towards nature and the mysteries of the world,playful and whimsical,"rhyme, as seen in the use of a consistent AABB pattern, which gives the poem a lyrical quality"
"“Little girl, little girl,
 Where have you been?”
 “Gathering roses,
 To give to the Queen.”
 

 “Little girl, little girl,
 What she gave you?
 “She gave me diamond,
 As big as my shoe.”",light and playful,light and playful,"imagery, as seen in the vivid descriptions of the roses and the 'diamond as big as my shoe,' which evoke a sense of grandeur and fantasy"
"Tiggy, Tiggy Touchwood,
 My black hen:
 She lays eggs
 For gentlemen.
 

 Sometimes nine,
 And sometimes ten.
 Tiggy, Tiggy Touchwood,
 My black hen.",light-hearted and cheerful,light-hearted and cheerful,"rhyme, which contributes to its musicality, and the playful imagery of the hen's egg-laying capabilities, underscoring a delightful and simplistic portrayal of farm life"
"Simple Simon met a pieman
 Going to the fair:
 Said Simple Simon to the pieman,
 “Let me taste your ware.”
 

 Said the man to Simple Simon,
 “Show me first your penny.”
 Said Simple Simon to the pieman,
 “Indeed, I have not any.”",lack of money,light-hearted and playful,"dialogue, which adds a conversational tone, and the use of rhyme, creating a rhythmic quality that enhances its appeal as a nursery rhyme"
".Rub-a-dub-dub,
 Three men in a tub:
 

  The butcher, the baker and
  The candle-stick maker.
 

 If the tub had been stronger.
 My song would be longer.",camaraderie and the absurdity of life,light-hearted and jovial,"rhyme and rhythm, which contribute to the poem’s sing-song quality, making it memorable and enjoyable"
"Wee Willie Winkie
 Runs through the town:
 Upstairs and downstairs,
  In his night gown.
 

 Tapping on the window,
 Crying through the lock;
 “Are the children all in bed?
 For it’s past Eight o’clock.”",playful and whimsical,playful and whimsical,"the use of rhyme and rhythm, which create a musical quality, making it appealing for young readers"
"I love a little pussy,
 Her coat is so warm:
 And if I don't hurt her,
 She'll do me no harm.
 

 I'll sit by the fire,
 And give her some food:
 And pussy, will love me,
 Because I'm so good.",light-hearted and nurturing,light-hearted and nurturing,"simple rhyme and repetition, which create a playful and rhythmic quality"
"I have a toothbrush, neat and gay,
 To brush my teeth with, everyday.
 

 I brush them each morning,
 T I brush them each night;
 

 Till all are shining,
 Clean and bright.",cheerful and playful,cheerful and playful,"rhyme, as seen in the couplets that create a rhythmic flow, enhancing the joyful tone"
"After a bath,
 I try, try, try,
 To wipe myself,
 Till I'm dry, dry, dry.
 

 Hands to wipe,
 and fingers and toes,
 And two wet legs
 and a shiny nose.",light-hearted and playful,light-hearted and playful,"repetition, as seen in ""try, try, try"" and ""dry, dry, dry,"" which adds rhythm and emphasizes the effort of drying"
"Washing day, washing day,
 Mother rubs the clothes this way.
 Rub-a-dub, rub-a-dub,
 Up and down, inside the tub.",the daily routine of laundry and the labor involved in it,playful and lighthearted,"the use of repetition with phrases like ""washing day"" and ""rub-a-dub,"" which emphasize the actions and create a musical quality"
"Punch and judy,
 Fought for a pie:
 Punch gave a Judy
 A Knock in the eye.
 

  Says Punch to Judy,
 “Will you have any more?”
 Says Judy to Punch,
 “My eye is too sore.”",the comic nature of their interactions,whimsical and playful,"repetitive dialogue, which emphasizes the back-and-forth dynamic between Punch and Judy, and the use of rhyme, which lends a musical quality to the text"
"I have a little nose,
 And I have a little chin:
 And I have a little mouth,
 Just to put my dinner in.",self-acceptance and the simplicity of one’s identity,lighthearted and cheerful,"the use of rhyme, which creates a musical quality, and alliteration, emphasizing the smallness of the features"
"Look,look,
 see the clown.
 He’s jumping up,
 He's falling down,
 

 He's sitting on
 A spinning ball,
 He doesn't seem
 To care at all.",the carefree and playful nature of a clown,lighthearted and whimsical,"repetition, as seen in the opening lines ""Look, look,"" which invites the reader's attention, and rhyme, which creates a rhythmic quality with pairs like ""up/down"" and ""all/ball"
"Yankee Doodle went to town,
 Riding on a pony:
 He stuck a feather in his cap
 And called it macaroni.
 

 Yankee Doodle doodle-doo,
 Oh! Yankee Doodle Dandy: >
 All the lads and lassies
 Are as sweet as sugar-candy.",cheerful and whimsical,cheerful and whimsical,"rhyme, which creates a musical quality, and imagery, as seen in ""feather in his cap"" and ""sweet as sugar-candy,"" which conveys vivid visual and sensory elements"
"Goosey, Goosey, Gander,
 Whither shall 1 wander?
 Upstairs and downstairs,
 And in my lady’s chamber.
 

 There I met an old man,
 Who wouldn't say his prayers
 I caught him by his leftteg,
 And threw him down he s stairs.",light and mischievous,light and mischievous,"rhyme, which promotes a rhythmic and sing-song quality, and imagery, which vividly depicts the actions and setting"
"Old King Cole
 Was a merry old soul,
 

 And a merry old soul was he:
 He called for his pipe,
 

 And he called for his bowl,
 And he called for his fiddlers three.",lighthearted and playful,lighthearted and playful,"repetition in the phrases ""a merry old soul"" and ""he called for,"" which reinforce the king's jolly nature and the communal atmosphere of the gathering"
"Little Jack Horner
 Sat in a corner,
 

 Eating his Christmas pie; Ce
 

 He put in his thumb,
 

 And he pulled out a plum,
 And said, “What a good boy am I!”",lighthearted and playful,lighthearted and playful,"rhyme, as seen in the alternating lines, and imagery, particularly in the depiction of the pie and the act of pulling out a plum, which evokes a sense of happiness and satisfaction"
"Pussy-cat, pussy-cat,
 

 Where have you been?
 

 “I've been to London,
 To visit the Queen.”
 

 Pussy-cat, Pussy-cat,
 What did you do there?
 “I frightened a little mouse
 under her chair.”",cheerful and innocent,cheerful and innocent,"repetition, as seen in the repeated phrase ""Pussy-cat, pussy-cat,"" which emphasizes familiarity and rhythm, and personification, as the cat is given a voice and agency, enhancing the playful nature of the poem"
"I must say:
 

 Good morning in the morning.
 Good afternoon at noon.
 Good evening in the evening.
 Good night at night.",the acknowledgment and greeting of different times of the day,light and amicable,"repetition, as the format of greetings for each time segment emphasizes the rhythm of daily life"
"I eat slowly:
 I chew the food well.
 I do not spill food.
 

 ] eat with my right hand.
 I wash my hands before
 and after eating.",mindfulness and the importance of manners during mealtime,one of calmness and intentionality,"the use of repetition and alliteration, such as ""I eat slowly"" and ""wash my hands before and after,"" which reinforce the speaker's commitment to their eating habits and enhance the rhythm of the poem"
"go to the toilet.
 I brush my teeth.
 I wear clean night clothes.
 I greet everyone Good Night.
 I say my prayers.
 I hop into my bed.",the routine of preparing for bed,calm and soothing,"the use of everyday language and rhythm, which creates a sense of familiarity and relatability, drawing the reader into the peacefulness of the bedtime process"
"I love my parents.
 I love my brothers and sisters.
 I help all at home.
 I keep my things in their place.
 I wish those who come to my house.",familial love,warm and cheerful,"repetition (using ""I love"") to reinforce emotional ties and simple, straightforward language that conveys sincerity and innocence in the speaker's sentiments towards their family"
"I go to school in clean clothes.
 I wish my teacher in the classroom.
 I obey the teacher.
 I keep my classroom clean.
 I do not tear pictures.",the values of discipline,positive and orderly,"the use of simple, straightforward language that emphasizes the child's daily routine and behaviors, creating a sense of innocence and simplicity"
"I say Please when I want something.
 I say Thank you when I get something.
 

 I say Excuse me when I cough or sneeze.
 I say Pardon me when I do not hear.",the importance of courtesy and the use of polite expressions in communication,unknown,"repetition, as the structure consistently uses ""I say"" to introduce each polite expression, creating rhythm and reinforcing the message"
"l am always neat and tidy.
 I do not drop food while eating.
 I cut my nails.
 I wash my hands before and after eating.
 I do not put my fingers in my mouth.
 I keep my hair neat and tidy.",one of discipline and pride in one’s habits,one of discipline and pride in one’s habits,"repetition, as the speaker emphasizes various actions that contribute to their neatness, reinforcing their commitment to hygiene and self-care"
"It was a hot summer day. A crow was very thirsty. He flew from
 one place to another, but he could not get any water. At last he
 saw a big pot. There was very little water in it. He thought of a
 plan. He picked up some stones and dropped them into the pot
 one by one. The water in the pot came up. He drank the water
 and flew away happily.
 Moral: We should always use our common sense.",resourcefulness and problem-solving,both tense,"personification, as the crow displays human-like qualities of reasoning and planning"
